SR_NUMBER;SR_SHORT_CODE;OWNER_DEPARTMENT;STATUS;CREATED_DATE;STREET_NUMBER;STREET_DIRECTION;STREET_NAME;STREET_TYPE;COMMUNITY_AREA;LATITUDE;LONGITUDE
SR20-05580053;AVN;Aviation;Completed;2020-12-06 10:15:03;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580054;311IOC;311 City Services;Completed;2020-12-06 10:15:28;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580055;311IOC;311 City Services;Completed;2020-12-06 10:15:39;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580058;311IOC;311 City Services;Completed;2020-12-06 10:17:07;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580059;311IOC;311 City Services;Completed;2020-12-06 10:17:51;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580060;311IOC;311 City Services;Completed;2020-12-06 10:19:12;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580061;AVN;Aviation;Completed;2020-12-06 10:19:22;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580062;311IOC;311 City Services;Completed;2020-12-06 10:19:35;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580064;311IOC;311 City Services;Completed;2020-12-06 10:20:18;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580065;311IOC;311 City Services;Completed;2020-12-06 10:20:34;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580066;311IOC;311 City Services;Completed;2020-12-06 10:21:09;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580067;311IOC;311 City Services;Completed;2020-12-06 10:21:40;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580068;AVN;Aviation;Completed;2020-12-06 10:22:14;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580069;311IOC;311 City Services;Completed;2020-12-06 10:22:16;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580071;311IOC;311 City Services;Completed;2020-12-06 10:22:25;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580074;SFN;CDOT - Department of Transportation;Completed;2020-12-06 10:23:02;3800;W;51ST;ST;WEST ELSDON;41.801035664;-87.719029728
SR20-05580076;311IOC;311 City Services;Completed;2020-12-06 10:23:58;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580077;PCE;CDOT - Department of Transportation;Completed;2020-12-06 10:25:00;2255;W;50TH;PL;GAGE PARK;41.802042853;-87.681625054
SR20-05580080;AVN;Aviation;Completed;2020-12-06 10:25:23;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580083;311IOC;311 City Services;Completed;2020-12-06 10:26:13;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580084;AVN;Aviation;Completed;2020-12-06 10:26:15;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580085;PCE;CDOT - Department of Transportation;Completed;2020-12-06 10:26:39;2306;W;CONGRESS;PKWY;NEAR WEST SIDE;41.874998075;-87.684153142
SR20-05580086;311IOC;311 City Services;Completed;2020-12-06 10:27:01;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580087;311IOC;311 City Services;Completed;2020-12-06 10:27:33;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580088;311IOC;311 City Services;Completed;2020-12-06 10:27:49;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580089;AVN;Aviation;Completed;2020-12-06 10:27:54;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580090;311IOC;311 City Services;Completed;2020-12-06 10:27:59;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580092;311IOC;311 City Services;Completed;2020-12-06 10:28:35;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580093;311IOC;311 City Services;Completed;2020-12-06 10:28:51;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580095;311IOC;311 City Services;Completed;2020-12-06 10:28:59;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580096;311IOC;311 City Services;Completed;2020-12-06 10:29:24;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580097;311IOC;311 City Services;Completed;2020-12-06 10:29:43;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580098;311IOC;311 City Services;Completed;2020-12-06 10:30:55;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580099;AVN;Aviation;Completed;2020-12-06 10:31:02;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580100;311IOC;311 City Services;Completed;2020-12-06 10:31:20;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580101;PCE;CDOT - Department of Transportation;Completed;2020-12-06 10:31:34;645;W;18TH;ST;LOWER WEST SIDE;41.857598346;-87.643788375
SR20-05580102;GRAF;Streets and Sanitation;Completed;2020-12-06 10:31:36;2300;W;50TH;PL;GAGE PARK;41.802279559;-87.681985572
SR20-05580103;311IOC;311 City Services;Completed;2020-12-06 10:31:38;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580104;GRAF;Streets and Sanitation;Completed;2020-12-06 10:32:51;2108;W;47TH;ST;NEW CITY;41.808530354;-87.677517992
SR20-05580106;GRAF;Streets and Sanitation;Completed;2020-12-06 10:32:55;444;W;18TH;ST;NEAR WEST SIDE;41.85770467;-87.638667136
SR20-05580107;311IOC;311 City Services;Completed;2020-12-06 10:33:03;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580108;311IOC;311 City Services;Completed;2020-12-06 10:33:08;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580109;311IOC;311 City Services;Completed;2020-12-06 10:34:07;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580110;PHF;CDOT - Department of Transportation;Completed;2020-12-06 10:34:15;5058;W;AINSLIE;ST;JEFFERSON PARK;41.969771399;-87.755108062
SR20-05580111;AVN;Aviation;Completed;2020-12-06 10:34:29;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580112;AVN;Aviation;Completed;2020-12-06 10:34:40;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580116;AVN;Aviation;Completed;2020-12-06 10:35:20;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580118;SGA;Streets and Sanitation;Completed;2020-12-06 10:35:38;4157;W;KAMERLING;AVE;HUMBOLDT PARK;41.905128618;-87.731130539
SR20-05580119;AVN;Aviation;Completed;2020-12-06 10:36:08;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580122;311IOC;311 City Services;Completed;2020-12-06 10:36:42;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580123;311IOC;311 City Services;Completed;2020-12-06 10:36:57;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580124;AVN;Aviation;Completed;2020-12-06 10:37:05;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580125;AVN;Aviation;Completed;2020-12-06 10:37:52;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580127;311IOC;311 City Services;Completed;2020-12-06 10:38:39;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580128;AVN;Aviation;Completed;2020-12-06 10:38:39;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580130;311IOC;311 City Services;Completed;2020-12-06 10:39:17;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580131;AVN;Aviation;Completed;2020-12-06 10:39:22;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580132;311IOC;311 City Services;Completed;2020-12-06 10:39:29;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580133;AVN;Aviation;Completed;2020-12-06 10:40:16;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580134;AVN;Aviation;Completed;2020-12-06 10:40:56;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580135;311IOC;311 City Services;Completed;2020-12-06 10:41:01;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580136;311IOC;311 City Services;Completed;2020-12-06 10:41:23;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580138;311IOC;311 City Services;Completed;2020-12-06 10:41:41;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580139;AVN;Aviation;Completed;2020-12-06 10:42:06;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580140;311IOC;311 City Services;Completed;2020-12-06 10:42:51;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580142;AVN;Aviation;Completed;2020-12-06 10:44:08;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580144;311IOC;311 City Services;Completed;2020-12-06 10:44:53;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580145;AVN;Aviation;Completed;2020-12-06 10:44:58;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580147;AVN;Aviation;Completed;2020-12-06 10:45:46;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580149;311IOC;311 City Services;Completed;2020-12-06 10:47:10;2111;W;Lexington;ST;AVONDALE;41.934505857;-87.729519099
SR20-05580152;311IOC;311 City Services;Completed;2020-12-06 10:47:41;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580153;311IOC;311 City Services;Completed;2020-12-06 10:47:54;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580154;311IOC;311 City Services;Completed;2020-12-06 10:48:32;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580157;SCC;Streets and Sanitation;Completed;2020-12-06 10:50:26;2918;W;PALMER;ST;LOGAN SQUARE;41.921856669;-87.700939103
SR20-05580158;311IOC;311 City Services;Completed;2020-12-06 10:50:40;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580159;SGQ;Streets and Sanitation;Completed;2020-12-06 10:50:44;2759;W;NORTH;AVE;WEST TOWN;41.910225195;-87.697040637
SR20-05580160;311IOC;311 City Services;Completed;2020-12-06 10:51:24;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580161;311IOC;311 City Services;Completed;2020-12-06 10:51:42;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580163;311IOC;311 City Services;Completed;2020-12-06 10:52:06;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580164;311IOC;311 City Services;Completed;2020-12-06 10:52:45;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580165;311IOC;311 City Services;Completed;2020-12-06 10:52:49;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580166;PCB;CDOT - Department of Transportation;Completed;2020-12-06 10:54:11;2398;W;106TH;ST;BEVERLY;41.700983461;-87.681328181
SR20-05580167;311IOC;311 City Services;Completed;2020-12-06 10:54:27;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580169;311IOC;311 City Services;Completed;2020-12-06 10:55:01;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580171;311IOC;311 City Services;Completed;2020-12-06 10:55:24;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580172;AVN;Aviation;Completed;2020-12-06 10:55:39;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580173;311IOC;311 City Services;Completed;2020-12-06 10:55:46;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580174;311IOC;311 City Services;Completed;2020-12-06 10:56:27;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580175;AVN;Aviation;Completed;2020-12-06 10:56:36;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580176;311IOC;311 City Services;Completed;2020-12-06 10:56:40;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580177;311IOC;311 City Services;Completed;2020-12-06 10:56:57;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580178;AVN;Aviation;Completed;2020-12-06 10:57:14;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580179;311IOC;311 City Services;Completed;2020-12-06 10:57:26;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580180;AVN;Aviation;Completed;2020-12-06 10:57:43;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580181;311IOC;311 City Services;Completed;2020-12-06 10:57:57;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580183;AVN;Aviation;Completed;2020-12-06 10:58:19;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580184;311IOC;311 City Services;Completed;2020-12-06 10:58:42;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580185;311IOC;311 City Services;Completed;2020-12-06 10:58:47;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580187;311IOC;311 City Services;Completed;2020-12-06 10:59:28;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580190;BBA;DOB - Buildings;Completed;2020-12-06 11:00:25;1844;W;18TH;ST;LOWER WEST SIDE;41.857872657;-87.672860538
SR20-05580191;311IOC;311 City Services;Completed;2020-12-06 11:00:27;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580194;311IOC;311 City Services;Completed;2020-12-06 11:00:35;2111;W;Lexington;ST;UPTOWN;41.965576906;-87.650136846
SR20-05580198;311IOC;311 City Services;Completed;2020-12-06 11:00:53;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580200;311IOC;311 City Services;Completed;2020-12-06 11:00:54;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580201;311IOC;311 City Services;Completed;2020-12-06 11:01:07;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580202;311IOC;311 City Services;Completed;2020-12-06 11:01:46;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580203;AVN;Aviation;Completed;2020-12-06 11:02:19;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580204;311IOC;311 City Services;Completed;2020-12-06 11:02:27;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580205;311IOC;311 City Services;Completed;2020-12-06 11:03:00;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580206;311IOC;311 City Services;Completed;2020-12-06 11:03:41;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580209;311IOC;311 City Services;Completed;2020-12-06 11:06:18;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580217;AVN;Aviation;Completed;2020-12-06 11:09:16;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580219;311IOC;311 City Services;Completed;2020-12-06 11:10:04;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580221;311IOC;311 City Services;Completed;2020-12-06 11:10:24;2111;W;Lexington;ST;WOODLAWN;41.782508287;-87.612351996
SR20-05580222;311IOC;311 City Services;Completed;2020-12-06 11:11:57;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580223;311IOC;311 City Services;Completed;2020-12-06 11:11:58;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580224;311IOC;311 City Services;Completed;2020-12-06 11:12:16;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580225;311IOC;311 City Services;Completed;2020-12-06 11:12:25;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580226;AVN;Aviation;Completed;2020-12-06 11:12:59;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580231;311IOC;311 City Services;Completed;2020-12-06 11:16:33;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580233;AVN;Aviation;Completed;2020-12-06 11:16:44;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580234;SEF;Streets and Sanitation;Completed;2020-12-06 11:16:51;459;W;28TH;PL;BRIDGEPORT;41.842502413;-87.638889165
SR20-05580235;SDP;Streets and Sanitation;Completed;2020-12-06 11:17:32;3109;W;59TH;ST;CHICAGO LAWN;41.786023681;-87.701379445
SR20-05580236;311IOC;311 City Services;Completed;2020-12-06 11:17:41;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580237;SIE;Streets and Sanitation;Completed;2020-12-06 11:18:06;7051;W;HIGGINS;AVE;NORWOOD PARK;41.980344686;-87.804313633
SR20-05580238;311IOC;311 City Services;Completed;2020-12-06 11:18:39;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580239;PBD;CDOT - Department of Transportation;Completed;2020-12-06 11:18:54;3109;W;59TH;ST;CHICAGO LAWN;41.786023681;-87.701379445
SR20-05580240;AVN;Aviation;Completed;2020-12-06 11:18:54;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580241;311IOC;311 City Services;Completed;2020-12-06 11:18:58;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580243;SCX;Streets and Sanitation;Completed;2020-12-06 11:20:03;7051;W;HIGGINS;AVE;NORWOOD PARK;41.980344686;-87.804313633
SR20-05580244;SDP;Streets and Sanitation;Completed;2020-12-06 11:20:10;2001;W;GRAND;AVE;WEST TOWN;41.890831753;-87.676914517
SR20-05580245;AVN;Aviation;Completed;2020-12-06 11:20:16;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580246;SCC;Streets and Sanitation;Completed;2020-12-06 11:20:26;651;W;ELM;ST;NEAR NORTH SIDE;41.902413044;-87.645225167
SR20-05580247;311IOC;311 City Services;Completed;2020-12-06 11:20:30;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580248;311IOC;311 City Services;Completed;2020-12-06 11:21:06;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580249;AVN;Aviation;Completed;2020-12-06 11:21:21;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580250;311IOC;311 City Services;Completed;2020-12-06 11:21:27;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580251;AVN;Aviation;Completed;2020-12-06 11:21:36;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580252;SRRC;Streets and Sanitation;Canceled;2020-12-06 11:21:47;7051;W;HIGGINS;AVE;NORWOOD PARK;41.980344686;-87.804313633
SR20-05580253;311IOC;311 City Services;Completed;2020-12-06 11:22:56;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580254;SGQ;Streets and Sanitation;Completed;2020-12-06 11:23:05;3811;W;46TH;ST;ARCHER HEIGHTS;41.809559342;-87.719248533
SR20-05580255;311IOC;311 City Services;Completed;2020-12-06 11:23:23;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580256;AVN;Aviation;Completed;2020-12-06 11:23:31;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580257;RBL;BACP - Business Affairs and Consumer Protection;Completed;2020-12-06 11:23:36;500;W;MADISON;ST;NEAR WEST SIDE;41.88239806;-87.640477958
SR20-05580258;311IOC;311 City Services;Completed;2020-12-06 11:23:54;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580259;AVN;Aviation;Completed;2020-12-06 11:24:02;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580260;SIE;Streets and Sanitation;Completed;2020-12-06 11:24:44;1315;W;ERIE;ST;WEST TOWN;41.893257699;-87.660226761
SR20-05580262;AVN;Aviation;Completed;2020-12-06 11:25:05;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580264;311IOC;311 City Services;Completed;2020-12-06 11:25:28;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580265;311IOC;311 City Services;Completed;2020-12-06 11:25:33;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580266;311IOC;311 City Services;Completed;2020-12-06 11:26:16;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580267;AVN;Aviation;Completed;2020-12-06 11:26:18;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580268;AVN;Aviation;Completed;2020-12-06 11:26:34;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580269;311IOC;311 City Services;Completed;2020-12-06 11:26:48;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580270;AVN;Aviation;Completed;2020-12-06 11:27:07;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580272;AVN;Aviation;Completed;2020-12-06 11:27:43;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580273;AVN;Aviation;Completed;2020-12-06 11:28:03;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580274;311IOC;311 City Services;Completed;2020-12-06 11:28:04;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580275;311IOC;311 City Services;Completed;2020-12-06 11:28:27;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580276;AVN;Aviation;Completed;2020-12-06 11:28:33;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580277;AVN;Aviation;Completed;2020-12-06 11:28:40;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580278;311IOC;311 City Services;Completed;2020-12-06 11:29:06;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580279;AVN;Aviation;Completed;2020-12-06 11:29:28;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580280;SDR;Streets and Sanitation;Completed;2020-12-06 11:29:36;3816;W;THOMAS;ST;HUMBOLDT PARK;41.900916645;-87.722149871
SR20-05580281;AVN;Aviation;Completed;2020-12-06 11:29:40;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580282;311IOC;311 City Services;Completed;2020-12-06 11:30:14;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580283;311IOC;311 City Services;Completed;2020-12-06 11:30:21;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580285;AVN;Aviation;Completed;2020-12-06 11:31:19;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580286;311IOC;311 City Services;Completed;2020-12-06 11:31:29;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580287;AVN;Aviation;Completed;2020-12-06 11:32:37;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580288;SCQ;Streets and Sanitation;Completed;2020-12-06 11:32:53;2109;W;GRACE;ST;NORTH CENTER;41.95025848;-87.681514634
SR20-05580289;AVN;Aviation;Completed;2020-12-06 11:33:01;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580291;PHF;CDOT - Department of Transportation;Completed;2020-12-06 11:33:44;3705;W;69TH;ST;WEST LAWN;41.767639711;-87.715421124
SR20-05580292;AVN;Aviation;Completed;2020-12-06 11:34:02;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580293;311IOC;311 City Services;Completed;2020-12-06 11:34:05;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580294;PHF;CDOT - Department of Transportation;Completed;2020-12-06 11:34:13;3727;W;69TH;ST;WEST LAWN;41.76780682;-87.716250568
SR20-05580296;PHF;CDOT - Department of Transportation;Completed;2020-12-06 11:35:07;3639;W;69TH;ST;WEST LAWN;41.767664809;-87.714383947
SR20-05580300;311IOC;311 City Services;Completed;2020-12-06 11:35:29;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580301;PHF;CDOT - Department of Transportation;Completed;2020-12-06 11:35:33;3712;W;69TH;PL;WEST LAWN;41.767137501;-87.715740696
SR20-05580305;PHF;CDOT - Department of Transportation;Completed;2020-12-06 11:36:01;3718;W;70TH;ST;WEST LAWN;41.766221463;-87.715936622
SR20-05580306;PHF;CDOT - Department of Transportation;Completed;2020-12-06 11:36:24;3718;W;70TH;PL;WEST LAWN;41.765333446;-87.715916959
SR20-05580307;SIE;Streets and Sanitation;Completed;2020-12-06 11:36:25;3118;W;40TH;PL;BRIGHTON PARK;41.820106574;-87.702796116
SR20-05580309;PHF;CDOT - Department of Transportation;Completed;2020-12-06 11:36:59;3817;W;70TH;PL;WEST LAWN;41.764880788;-87.718245484
SR20-05580310;AVN;Aviation;Completed;2020-12-06 11:37:06;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580311;AVN;Aviation;Completed;2020-12-06 11:38:15;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580312;311IOC;311 City Services;Completed;2020-12-06 11:38:41;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580313;AVN;Aviation;Completed;2020-12-06 11:38:57;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580316;AVN;Aviation;Completed;2020-12-06 11:39:37;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580317;AVN;Aviation;Completed;2020-12-06 11:39:43;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580318;AVN;Aviation;Completed;2020-12-06 11:39:51;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580319;AVN;Aviation;Completed;2020-12-06 11:40:06;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580320;SKA;Streets and Sanitation;Completed;2020-12-06 11:40:44;2444;W;45TH;ST;BRIGHTON PARK;41.812246795;-87.686372518
