SR_NUMBER;SR_SHORT_CODE;OWNER_DEPARTMENT;STATUS;CREATED_DATE;STREET_NUMBER;STREET_DIRECTION;STREET_NAME;STREET_TYPE;COMMUNITY_AREA;LATITUDE;LONGITUDE
SR20-05579869;SDR;Streets and Sanitation;Completed;2020-12-06 09:22:25;2557;W;VAN BUREN;ST;NEAR WEST SIDE;41.876017791;-87.691164376
SR20-05579870;AVN;Aviation;Completed;2020-12-06 09:22:49;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579873;AVN;Aviation;Completed;2020-12-06 09:23:39;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579874;AVN;Aviation;Completed;2020-12-06 09:23:47;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579875;AVN;Aviation;Completed;2020-12-06 09:23:49;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579876;AVN;Aviation;Completed;2020-12-06 09:24:08;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579877;311IOC;311 City Services;Completed;2020-12-06 09:24:25;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05579878;AVN;Aviation;Completed;2020-12-06 09:24:49;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579879;311IOC;311 City Services;Completed;2020-12-06 09:24:52;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05579880;311IOC;311 City Services;Completed;2020-12-06 09:24:58;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05579881;AVN;Aviation;Completed;2020-12-06 09:25:13;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579882;AVN;Aviation;Completed;2020-12-06 09:25:45;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579883;311IOC;311 City Services;Completed;2020-12-06 09:26:32;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05579886;AVN;Aviation;Completed;2020-12-06 09:26:55;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579887;311IOC;311 City Services;Completed;2020-12-06 09:27:28;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05579888;AVN;Aviation;Completed;2020-12-06 09:27:32;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579889;311IOC;311 City Services;Completed;2020-12-06 09:27:55;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
