Unique Key;Created Date;Agency Name;Complaint Type;Incident Address;Status;Borough;Latitude;Longitude
61810260;2024-07-15 15:34:48;HPD;PLUMBING;1356 CLAY AVENUE;Closed;BRONX;40.835860471272795;-73.90862463098405
61810261;2024-07-15 10:42:22;HPD;PLUMBING;207 DYCKMAN STREET;Closed;MANHATTAN;40.86486577425279;-73.92682805670819
61810257;2024-07-15 09:50:29;HPD;PLUMBING;124 EAST  103 STREET;Closed;MANHATTAN;40.79060270525623;-73.94839005197896
61810266;2024-07-15 12:55:16;HPD;UNSANITARY CONDITION;1521 JEFFERSON AVENUE;Closed;BROOKLYN;40.69727199559161;-73.90741172247546
61810271;2024-07-15 19:58:43;HPD;PLUMBING;1434 OGDEN AVENUE;Closed;BRONX;40.843370001565646;-73.92373623836734
61810280;2024-07-15 22:09:47;HPD;PLUMBING;1314 LAFAYETTE AVENUE;Open;BRONX;40.81687750788494;-73.8864392732609
61810289;2024-07-15 15:38:03;HPD;UNSANITARY CONDITION;603 WEST  140 STREET;Closed;MANHATTAN;40.82345086862661;-73.95318812162448
61810279;2024-07-15 12:55:12;HPD;PLUMBING;155 HANCOCK STREET;Closed;BROOKLYN;40.68262180912314;-73.9493569732653
61810288;2024-07-15 18:17:02;HPD;UNSANITARY CONDITION;139 THOMAS S BOYLAND STREET;Closed;BROOKLYN;40.68011398106802;-73.91390719876304
61810287;2024-07-15 14:04:51;HPD;UNSANITARY CONDITION;55 LENOX ROAD;Closed;BROOKLYN;40.653692477421174;-73.95769324445949
61810291;2024-07-15 11:19:36;HPD;PLUMBING;861 48 STREET;Closed;BROOKLYN;40.641472240243615;-74.001264754329
61810295;2024-07-15 10:32:44;HPD;SAFETY;1649 NELSON AVENUE;Closed;BRONX;40.84720339784468;-73.91832464969784
61810300;2024-07-15 18:00:56;HPD;UNSANITARY CONDITION;1051 OCEAN AVENUE;Closed;BROOKLYN;40.6368809628493;-73.95849296875988
61810294;2024-07-15 15:53:24;HPD;SAFETY;1362 WEST    7 STREET;Closed;BROOKLYN;40.612433634947614;-73.98154838181658
